2024 National Employment Matrix title,2024 National Employment Matrix code,Occupation type,"Employment, 2024","Employment, 2034","Employment change, numeric, 2024–34","Employment change, percent, 2024–34","Labor force exit rate, 2024–34 annual average","Occupational transfer rate, 2024–34 annual average","Total occupational separations rate, 2024–34 annual average","Labor force exits, 2024–34 annual average","Occupational transfers, 2024–34 annual average","Total occupational separations, 2024–34 annual average","Occupational openings, 2024–34 annual average",
"        Media and communication workers, all other",'27-3099,Line item,34.3,35.3,0.9,2.7,2.8,5.6,8.4,1.0,2.0,2.9,3.0,
    Media and communication equipment workers,'27-4000,Summary,392.3,398.9,6.6,1.7,2.7,5.1,7.8,10.5,20.2,30.7,31.4,
"      Broadcast, sound, and lighting technicians",'27-4010,Summary,146.1,147.7,1.5,1.0,2.3,5.2,7.5,3.4,7.6,11.0,11.1,
        Audio and video technicians,'27-4011,Line item,92.3,95.4,3.1,3.3,2.3,5.2,7.5,2.2,4.8,7.0,7.3,
        Broadcast technicians,'27-4012,Line item,24.8,24.2,-0.7,-2.8,2.3,5.2,7.5,0.6,1.3,1.8,1.8,
        Sound engineering technicians,'27-4014,Line item,16.9,16.6,-0.3,-1.7,2.3,5.2,7.5,0.4,0.9,1.3,1.2,
        Lighting technicians,'27-4015,Line item,12.1,11.5,-0.6,-4.6,2.3,5.2,7.5,0.3,0.6,0.9,0.8,
      Photographers,'27-4021,Line item,151.2,154.0,2.8,1.8,3.2,4.9,8.1,4.9,7.5,12.4,12.7,
"      Television, video, and film camera operators and editors",'27-4030,Summary,79.9,82.1,2.2,2.7,2.3,5.4,7.7,1.8,4.4,6.2,6.4,
"        Camera operators, television, video, and film",'27-4031,Line item,36.4,36.9,0.4,1.2,2.3,5.4,7.7,0.8,2.0,2.8,2.9,
        Film and video editors,'27-4032,Line item,43.5,45.2,1.7,4.0,2.3,5.4,7.7,1.0,2.4,3.4,3.6,
"      Media and communication equipment workers, all other",'27-4099,Line item,15.1,15.2,0.1,0.6,2.3,5.2,7.5,0.4,0.8,1.1,1.1,
  Healthcare practitioners and technical occupations,'29-0000,Summary,"10,067.5","10,794.4",726.9,7.2,2.9,2.5,5.4,299.5,262.7,562.2,634.9,
    Healthcare diagnosing or treating practitioners,'29-1000,Summary,"6,715.1","7,241.6",526.4,7.8,2.6,1.8,4.5,182.4,128.2,310.6,363.3,
      Chiropractors,'29-1011,Line item,57.2,62.6,5.4,9.5,3.0,0.7,3.7,1.8,0.4,2.2,2.8,
      Dentists,'29-1020,Summary,149.3,155.2,5.9,4.0,2.2,0.4,2.6,3.3,0.6,3.9,4.5,
"        Dentists, general",'29-1021,Line item,129.8,135.2,5.4,4.1,2.2,0.4,2.6,2.9,0.5,3.4,3.9,
        Oral and maxillofacial surgeons,'29-1022,Line item,6.1,6.4,0.3,4.1,2.2,0.4,2.6,0.1,0.0,0.2,0.2,
        Orthodontists,'29-1023,Line item,5.9,6.2,0.3,4.4,2.2,0.4,2.6,0.1,0.0,0.2,0.2,
        Prosthodontists,'29-1024,Line item,0.9,0.9,0.0,4.5,2.2,0.4,2.6,0.0,0.0,0.0,0.0,
"        Dentists, all other specialists",'29-1029,Line item,6.6,6.6,0.0,0.3,2.2,0.4,2.6,0.1,0.0,0.2,0.2,
      Dietitians and nutritionists,'29-1031,Line item,90.9,95.9,5.0,5.5,3.3,2.8,6.1,3.1,2.6,5.7,6.2,
      Optometrists,'29-1041,Line item,47.8,51.6,3.8,8.0,3.6,0.4,4.0,1.8,0.2,2.0,2.4,
      Pharmacists,'29-1051,Line item,335.1,350.5,15.4,4.6,2.4,1.3,3.7,8.1,4.5,12.6,14.2,
      Physician assistants,'29-1071,Line item,162.7,195.8,33.2,20.4,2.0,2.8,4.9,3.6,5.1,8.7,12.0,
      Podiatrists,'29-1081,Line item,9.7,9.9,0.2,1.8,2.3,0.5,2.8,0.2,0.0,0.3,0.3,
      Therapists,'29-1120,Summary,869.4,975.3,106.0,12.2,2.5,2.2,4.6,22.6,20.3,42.9,53.5,
        Occupational therapists,'29-1122,Line item,160.0,182.1,22.1,13.8,2.2,2.4,4.7,3.8,4.2,8.0,10.2,
        Physical therapists,'29-1123,Line item,267.2,296.4,29.3,10.9,2.1,1.5,3.7,6.0,4.3,10.3,13.2,
        Radiation therapists,'29-1124,Line item,19.2,19.6,0.4,1.9,2.3,2.1,4.4,0.4,0.4,0.9,0.9,
        Recreational therapists,'29-1125,Line item,16.1,16.6,0.5,3.3,3.6,4.0,7.6,0.6,0.7,1.2,1.3,
        Respiratory therapists,'29-1126,Line item,139.6,156.4,16.8,12.1,2.7,2.1,4.8,4.0,3.1,7.1,8.8,
        Speech-language pathologists,'29-1127,Line item,187.4,215.5,28.2,15.0,2.6,2.6,5.2,5.2,5.3,10.5,13.3,
        Exercise physiologists,'29-1128,Line item,23.9,26.1,2.3,9.5,3.0,2.8,5.8,0.8,0.7,1.4,1.7,
"        Therapists, all other",'29-1129,Line item,56.1,62.5,6.4,11.5,3.0,2.8,5.8,1.8,1.6,3.4,4.1,
      Veterinarians,'29-1131,Line item,86.4,94.7,8.3,9.6,1.5,0.8,2.4,1.4,0.8,2.2,3.0,
      Registered nurses,'29-1141,Line item,"3,391.0","3,557.1",166.1,4.9,2.8,2.1,5.0,97.9,74.6,172.4,189.1,
      Nurse anesthetists,'29-1151,Line item,53.8,58.5,4.6,8.6,2.2,1.7,4.0,1.3,1.0,2.2,2.7,
      Nurse midwives,'29-1161,Line item,8.6,9.5,0.9,11.1,2.2,2.1,4.3,0.2,0.2,0.4,0.5,
      Nurse practitioners,'29-1171,Line item,320.4,448.8,128.4,40.1,2.2,2.1,4.3,8.6,8.1,16.6,29.5,
      Audiologists,'29-1181,Line item,15.8,17.3,1.5,9.5,2.4,0.9,3.2,0.4,0.1,0.5,0.7,
      Physicians,'29-1210,Summary,785.6,807.7,22.1,2.8,2.1,0.4,2.5,16.7,3.4,20.1,22.3,
        Anesthesiologists,'29-1211,Line item,45.3,46.7,1.4,3.2,2.1,0.4,2.5,1.0,0.2,1.2,1.3,
        Cardiologists,'29-1212,Line item,19.4,20.2,0.8,4.1,2.1,0.4,2.5,0.4,0.1,0.5,0.6,
        Dermatologists,'29-1213,Line item,10.9,11.6,0.7,6.4,2.1,0.4,2.5,0.2,0.0,0.3,0.4,
        Emergency medicine physicians,'29-1214,Line item,36.1,37.1,1.0,2.7,2.1,0.4,2.5,0.8,0.2,0.9,1.0,
        Family medicine physicians,'29-1215,Line item,116.0,119.1,3.1,2.7,2.1,0.4,2.5,2.5,0.5,3.0,3.3,
        General internal medicine physicians,'29-1216,Line item,73.2,75.6,2.4,3.3,2.1,0.4,2.5,1.6,0.3,1.9,2.1,
        Neurologists,'29-1217,Line item,8.3,8.8,0.5,5.4,2.1,0.4,2.5,0.2,0.0,0.2,0.3,
        Obstetricians and gynecologists,'29-1218,Line item,21.5,21.7,0.3,1.2,2.1,0.4,2.5,0.5,0.1,0.5,0.6,
"        Pediatricians, general",'29-1221,Line item,46.4,46.8,0.4,0.8,2.1,0.4,2.5,1.0,0.2,1.2,1.2,
"        Physicians, pathologists",'29-1222,Line item,12.6,13.1,0.5,4.2,2.1,0.4,2.5,0.3,0.1,0.3,0.4,
        Psychiatrists,'29-1223,Line item,27.1,28.8,1.7,6.1,2.1,0.4,2.5,0.6,0.1,0.7,0.9,
        Radiologists,'29-1224,Line item,28.2,29.0,0.8,2.7,2.1,0.4,2.5,0.6,0.1,0.7,0.8,
"        Physicians, all other",'29-1229,Line item,340.7,349.3,8.6,2.5,2.1,0.4,2.5,7.2,1.5,8.7,9.6,
      Surgeons,'29-1240,Summary,53.4,55.5,2.1,4.0,1.6,0.4,2.0,0.9,0.2,1.1,1.3,
"        Ophthalmologists, except pediatric",'29-1241,Line item,12.5,13.1,0.5,4.3,1.6,0.4,2.0,0.2,0.1,0.3,0.3,
"        Orthopedic surgeons, except pediatric",'29-1242,Line item,14.7,15.3,0.6,4.1,1.6,0.4,2.0,0.2,0.1,0.3,0.4,
        Pediatric surgeons,'29-1243,Line item,1.1,1.1,0.0,1.5,1.6,0.4,2.0,0.0,0.0,0.0,0.0,
"        Surgeons, all other",'29-1249,Line item,25.1,26.0,1.0,3.9,1.6,0.4,2.0,0.4,0.1,0.5,0.6,
      Miscellaneous healthcare diagnosing or treating practitioners,'29-1290,Summary,278.3,295.7,17.4,6.3,3.7,2.1,5.8,10.6,6.1,16.7,18.5,
        Acupuncturists,'29-1291,Line item,15.3,16.4,1.0,6.8,3.9,1.0,4.9,0.6,0.2,0.8,0.9,
        Dental hygienists,'29-1292,Line item,221.6,237.2,15.5,7.0,3.7,2.2,6.0,8.6,5.1,13.7,15.3,
"        Healthcare diagnosing or treating practitioners, all other",'29-1299,Line item,41.3,42.2,0.8,2.0,3.4,2.0,5.4,1.4,0.8,2.3,2.4,
    Health technologists and technicians,'29-2000,Summary,"3,205.6","3,393.0",187.4,5.8,3.4,3.9,7.4,112.5,130.1,242.7,261.4,
      Clinical laboratory technologists and technicians,'29-2010,Line item,351.2,357.2,6.0,1.7,3.1,3.1,6.2,11.0,11.0,22.0,22.6,
      Diagnostic related technologists and technicians,'29-2030,Summary,451.5,478.8,27.3,6.1,2.6,2.4,5.0,12.3,11.1,23.4,26.1,
        Cardiovascular technologists and technicians,'29-2031,Line item,64.7,66.6,1.9,3.0,2.8,2.7,5.4,1.8,1.7,3.6,3.8,
        Diagnostic medical sonographers,'29-2032,Line item,90.0,101.7,11.7,13.0,2.5,2.4,4.8,2.4,2.3,4.6,5.8,
        Nuclear medicine technologists,'29-2033,Line item,20.0,20.6,0.6,3.0,2.2,2.1,4.3,0.4,0.4,0.9,0.9,
        Radiologic technologists and technicians,'29-2034,Line item,228.0,237.8,9.8,4.3,2.7,2.4,5.1,6.4,5.5,11.9,12.9,
        Magnetic resonance imaging technologists,'29-2035,Line item,44.1,47.2,3.1,7.1,2.5,2.4,4.9,1.2,1.1,2.2,2.6,
        Medical dosimetrists,'29-2036,Line item,4.8,4.9,0.2,3.5,2.2,2.1,4.3,0.1,0.1,0.2,0.2,
      Emergency medical technicians and paramedics,'29-2040,Summary,282.9,297.2,14.3,5.0,2.1,3.9,6.1,6.2,11.4,17.6,19.0,
        Emergency medical technicians,'29-2042,Line item,181.0,190.2,9.2,5.1,2.4,4.7,7.1,4.4,8.8,13.2,14.1,
        Paramedics,'29-2043,Line item,101.9,107.0,5.1,5.0,1.7,2.5,4.2,1.8,2.6,4.4,4.9,
      Health practitioner support technologists and technicians,'29-2050,Summary,994.3,"1,088.4",94.1,9.5,3.7,5.3,9.0,38.5,54.9,93.4,102.8,
        Dietetic technicians,'29-2051,Line item,30.9,31.7,0.8,2.5,5.6,7.1,12.7,1.7,2.2,4.0,4.0,
        Pharmacy technicians,'29-2052,Line item,490.4,521.8,31.5,6.4,3.7,5.3,9.1,18.9,27.0,45.9,49.0,
        Psychiatric technicians,'29-2053,Line item,144.5,173.3,28.9,20.0,3.4,4.8,8.2,5.4,7.6,13.0,15.9,
        Surgical technologists,'29-2055,Line item,115.6,120.8,5.2,4.5,2.7,2.8,5.5,3.2,3.3,6.5,7.0,
        Veterinary technologists and technicians,'29-2056,Line item,134.2,146.4,12.2,9.1,3.2,6.2,9.3,4.4,8.6,13.1,14.3,
        Ophthalmic medical technicians,'29-2057,Line item,78.8,94.4,15.6,19.8,5.6,7.1,12.7,4.8,6.1,11.0,12.5,
      Licensed practical and licensed vocational nurses,'29-2061,Line item,651.4,668.5,17.1,2.6,4.2,3.8,8.0,27.4,25.3,52.7,54.4,
      Medical records specialists,'29-2072,Line item,194.8,208.6,13.8,7.1,3.5,2.9,6.4,7.1,5.8,12.9,14.2,
"      Opticians, dispensing",'29-2081,Line item,79.9,82.2,2.3,2.9,4.2,3.9,8.0,3.4,3.1,6.5,6.8,
      Miscellaneous health technologists and technicians,'29-2090,Summary,199.6,212.2,12.6,6.3,3.3,3.6,6.9,6.7,7.5,14.2,15.4,
        Orthotists and prosthetists,'29-2091,Line item,10.1,11.5,1.3,13.3,3.3,3.6,6.9,0.4,0.4,0.7,0.9,
        Hearing aid specialists,'29-2092,Line item,10.7,12.6,2.0,18.4,3.3,3.6,6.9,0.4,0.4,0.8,1.0,
"        Health technologists and technicians, all other",'29-2099,Line item,178.8,188.1,9.3,5.2,3.3,3.6,6.9,6.0,6.7,12.6,13.6,
    Other healthcare practitioners and technical occupations,'29-9000,Summary,146.7,159.8,13.1,8.9,3.0,2.8,5.8,4.5,4.3,8.9,10.2,
      Health information technologists and medical registrars,'29-9021,Line item,41.9,48.1,6.2,14.7,3.0,2.8,5.8,1.3,1.3,2.6,3.2,
      Miscellaneous health practitioners and technical workers,'29-9090,Summary,104.8,111.8,6.9,6.6,3.0,2.8,5.8,3.2,3.1,6.3,7.0,
        Athletic trainers,'29-9091,Line item,33.9,37.6,3.8,11.1,3.0,2.8,5.8,1.1,1.0,2.1,2.4,
        Genetic counselors,'29-9092,Line item,4.0,4.3,0.4,9.3,3.0,2.8,5.8,0.1,0.1,0.2,0.3,
        Surgical assistants,'29-9093,Line item,25.3,26.6,1.3,5.1,3.0,2.8,5.8,0.8,0.7,1.5,1.6,
"        Healthcare practitioners and technical workers, all other",'29-9099,Line item,41.7,43.1,1.5,3.6,3.0,2.8,5.8,1.3,1.2,2.5,2.6,
  Healthcare support occupations,'31-0000,Summary,"7,982.8","8,971.1",988.3,12.4,7.3,6.7,14.0,618.4,569.4,"1,187.9","1,286.7",
"    Home health and personal care aides; and nursing assistants, orderlies, and psychiatric aides",'31-1100,Summary,"5,881.6","6,655.6",774.1,13.2,8.1,6.4,14.4,505.6,400.0,905.6,983.0,
      Home health and personal care aides,'31-1120,Line item,"4,347.7","5,087.5",739.8,17.0,8.6,6.1,14.7,403.9,288.0,691.9,765.8,
"      Nursing assistants, orderlies, and psychiatric aides",'31-1130,Summary,"1,533.9","1,568.1",34.2,2.2,6.6,7.2,13.8,101.7,112.0,213.7,217.1,
        Nursing assistants,'31-1131,Line item,"1,441.5","1,474.0",32.6,2.3,6.6,7.2,13.8,96.3,104.5,200.8,204.1,
        Orderlies,'31-1132,Line item,54.0,55.8,1.8,3.3,5.8,8.0,13.8,3.2,4.4,7.6,7.8,
        Psychiatric aides,'31-1133,Line item,38.5,38.3,-0.1,-0.4,5.8,8.0,13.8,2.2,3.1,5.3,5.3,
    Occupational therapy and physical therapist assistants and aides,'31-2000,Summary,211.5,246.9,35.4,16.7,5.0,8.4,13.4,11.6,19.2,30.8,34.3,
      Occupational therapy assistants and aides,'31-2010,Summary,54.4,64.0,9.6,17.6,4.5,7.1,11.7,2.7,4.2,6.9,7.9,
        Occupational therapy assistants,'31-2011,Line item,49.2,58.7,9.5,19.2,4.5,7.1,11.7,2.4,3.8,6.3,7.2,
        Occupational therapy aides,'31-2012,Line item,5.2,5.3,0.1,2.5,4.5,7.1,11.7,0.2,0.4,0.6,0.6,
      Physical therapist assistants and aides,'31-2020,Summary,157.1,182.9,25.8,16.4,5.2,8.8,14.0,8.9,15.0,23.9,26.4,
        Physical therapist assistants,'31-2021,Line item,111.5,136.0,24.5,22.0,5.2,8.8,14.0,6.5,10.9,17.4,19.8,
        Physical therapist aides,'31-2022,Line item,45.6,46.9,1.3,2.8,5.2,8.8,14.0,2.4,4.1,6.5,6.6,
    Other healthcare support occupations,'31-9000,Summary,"1,889.7","2,068.5",178.8,9.5,5.1,7.6,12.7,101.3,150.3,251.6,269.4,
      Massage therapists,'31-9011,Line item,168.0,193.9,25.9,15.4,6.6,5.7,12.2,11.9,10.3,22.2,24.7,
      Miscellaneous healthcare support occupations,'31-9090,Summary,"1,721.7","1,874.6",152.9,8.9,5.0,7.8,12.8,89.4,140.0,229.4,244.7,
        Dental assistants,'31-9091,Line item,381.9,406.3,24.4,6.4,5.2,7.6,12.8,20.5,30.0,50.5,52.9,
        Medical assistants,'31-9092,Line item,811.0,912.2,101.2,12.5,4.5,7.4,11.9,38.7,63.5,102.2,112.3,
        Medical equipment preparers,'31-9093,Line item,76.5,84.2,7.6,10.0,5.7,6.9,12.6,4.6,5.6,10.1,10.9,
        Medical transcriptionists,'31-9094,Line item,43.9,41.8,-2.2,-4.9,7.4,10.4,17.8,3.2,4.5,7.6,7.4,
        Pharmacy aides,'31-9095,Line item,41.1,41.1,-0.1,-0.1,5.4,9.4,14.8,2.2,3.9,6.1,6.1,
        Veterinary assistants and laboratory animal caretakers,'31-9096,Line item,117.8,128.1,10.3,8.7,5.5,11.8,17.3,6.7,14.5,21.2,22.2,
        Phlebotomists,'31-9097,Line item,139.7,147.5,7.9,5.6,5.0,7.3,12.3,7.2,10.4,17.6,18.4,
"        Healthcare support workers, all other",'31-9099,Line item,109.7,113.5,3.8,3.5,5.7,6.9,12.6,6.3,7.7,14.1,14.4,
  Protective service occupations,'33-0000,Summary,"3,787.4","3,816.6",29.1,0.8,4.7,6.4,11.1,177.6,243.0,420.6,423.6,
    Supervisors of protective service workers,'33-1000,Summary,408.4,417.1,8.7,2.1,3.0,4.3,7.3,12.3,17.6,30.0,30.8,
      First-line supervisors of law enforcement workers,'33-1010,Summary,217.9,220.9,3.0,1.4,2.7,4.1,6.8,6.0,8.9,14.9,15.2,
        First-line supervisors of correctional officers,'33-1011,Line item,57.1,55.5,-1.6,-2.8,3.3,4.6,7.9,1.9,2.6,4.5,4.3,
        First-line supervisors of police and detectives,'33-1012,Line item,160.8,165.4,4.6,2.9,2.5,3.9,6.4,4.1,6.3,10.4,10.9,
      First-line supervisors of firefighting and prevention workers,'33-1021,Line item,97.2,100.5,3.4,3.4,2.6,3.7,6.3,2.6,3.6,6.2,6.5,
"      Miscellaneous first-line supervisors, protective service workers",'33-1090,Summary,93.3,95.6,2.3,2.5,4.0,5.4,9.4,3.8,5.1,8.9,9.1,
        First-line supervisors of security workers,'33-1091,Line item,71.9,73.8,1.9,2.7,4.0,5.4,9.4,2.9,3.9,6.8,7.0,
"        First-line supervisors of protective service workers, all other",'33-1099,Line item,21.5,21.8,0.3,1.6,4.0,5.4,9.4,0.9,1.2,2.0,2.1,
    Firefighting and prevention workers,'33-2000,Summary,362.5,375.3,12.8,3.5,2.1,5.4,7.5,7.7,19.9,27.6,28.9,
      Firefighters,'33-2011,Line item,344.9,356.7,11.8,3.4,2.0,5.4,7.4,7.0,18.9,25.9,27.1,
      Fire inspectors,'33-2020,Summary,17.6,18.6,1.0,5.6,3.6,5.9,9.5,0.6,1.1,1.7,1.8,
        Fire inspectors and investigators,'33-2021,Line item,14.7,15.2,0.6,3.8,3.6,5.9,9.5,0.5,0.9,1.4,1.5,
        Forest fire inspectors and prevention specialists,'33-2022,Line item,2.9,3.3,0.4,14.6,3.6,5.9,9.5,0.1,0.2,0.3,0.3,
    Law enforcement workers,'33-3000,Summary,"1,241.6","1,232.0",-9.7,-0.8,2.7,5.0,7.7,33.6,62.2,95.8,94.8,
"      Bailiffs, correctional officers, and jailers",'33-3010,Summary,406.5,376.0,-30.5,-7.5,3.4,5.5,8.9,13.5,21.4,34.9,31.9,
        Bailiffs,'33-3011,Line item,19.0,18.6,-0.4,-2.2,5.5,4.4,9.9,1.0,0.8,1.9,1.8,
        Correctional officers and jailers,'33-3012,Line item,387.5,357.4,-30.1,-7.8,3.3,5.5,8.9,12.5,20.6,33.1,30.1,
      Detectives and criminal investigators,'33-3021,Line item,117.9,117.1,-0.8,-0.7,2.2,4.5,6.7,2.5,5.3,7.8,7.8,
      Fish and game wardens,'33-3031,Line item,7.0,6.6,-0.4,-6.0,4.3,4.4,8.7,0.3,0.3,0.6,0.5,
      Parking enforcement workers,'33-3041,Line item,8.4,8.2,-0.1,-1.5,4.3,4.4,8.7,0.4,0.4,0.7,0.7,
      Police officers,'33-3050,Summary,701.9,724.0,22.1,3.1,2.4,4.9,7.3,16.9,34.8,51.7,53.9,
        Police and sheriff's patrol officers,'33-3051,Line item,698.8,720.8,22.0,3.1,2.4,4.9,7.3,16.9,34.7,51.5,53.7,
        Transit and railroad police,'33-3052,Line item,3.1,3.2,0.1,3.0,2.4,4.9,7.3,0.1,0.2,0.2,0.2,
    Other protective service workers,'33-9000,Summary,"1,774.8","1,792.2",17.4,1.0,7.0,8.0,15.0,124.0,143.2,267.2,269.0,
      Animal control workers,'33-9011,Line item,12.2,12.7,0.5,3.9,4.0,6.2,10.1,0.5,0.8,1.3,1.3,
      Private detectives and investigators,'33-9021,Line item,43.6,46.2,2.6,6.0,3.2,5.0,8.1,1.4,2.2,3.7,3.9,
      Security guards and gambling surveillance officers,'33-9030,Summary,"1,272.4","1,277.5",5.1,0.4,5.1,7.6,12.7,64.7,97.1,161.8,162.3,
        Gambling surveillance officers and gambling investigators,'33-9031,Line item,10.3,10.3,0.0,0.3,5.1,7.6,12.7,0.5,0.8,1.3,1.3,
        Security guards,'33-9032,Line item,"1,262.1","1,267.1",5.1,0.4,5.1,7.6,12.7,64.2,96.3,160.5,161.0,
      Miscellaneous protective service workers,'33-9090,Summary,446.6,455.8,9.2,2.1,12.7,9.6,22.3,57.4,43.1,100.5,101.4,
        Crossing guards and flaggers,'33-9091,Line item,91.4,94.7,3.3,3.6,13.7,5.3,19.0,12.8,4.9,17.7,18.0,
"        Lifeguards, ski patrol, and other recreational protective service workers",'33-9092,Line item,149.7,158.4,8.7,5.8,13.9,13.2,27.2,21.5,20.4,41.9,42.7,
        Transportation security screeners,'33-9093,Line item,50.1,47.1,-3.0,-6.0,5.2,5.2,10.4,2.5,2.5,5.0,4.7,
        School bus monitors,'33-9094,Line item,71.4,69.5,-2.0,-2.7,12.5,5.7,18.2,8.8,4.0,12.8,12.6,
"        Protective service workers, all other",'33-9099,Line item,84.0,86.1,2.1,2.5,13.9,13.2,27.2,11.9,11.3,23.1,23.3,
  Food preparation and serving related occupations,'35-0000,Summary,"13,805.3","14,295.3",489.9,3.5,8.2,10.2,18.3,"1,146.3","1,430.5","2,576.8","2,625.8",
    Supervisors of food preparation and serving workers,'35-1000,Summary,"1,412.3","1,499.3",87.0,6.2,4.8,8.9,13.7,69.7,129.9,199.6,208.3,
      Chefs and head cooks,'35-1011,Line item,197.3,211.3,14.0,7.1,3.4,7.8,11.2,7.0,15.9,23.0,24.4,
      First-line supervisors of food preparation and serving workers,'35-1012,Line item,"1,215.0","1,288.0",73.0,6.0,5.0,9.1,14.1,62.6,114.0,176.6,183.9,
    Cooks and food preparation workers,'35-2000,Summary,"3,707.8","3,807.5",99.7,2.7,7.1,8.1,15.2,267.6,302.6,570.2,580.2,
      Cooks,'35-2010,Summary,"2,805.1","2,935.7",130.6,4.7,6.7,7.9,14.6,193.0,226.1,419.1,432.2,
"        Cooks, fast food",'35-2011,Line item,669.5,579.2,-90.3,-13.5,6.7,7.9,14.6,42.0,49.2,91.2,82.1,
"        Cooks, institution and cafeteria",'35-2012,Line item,466.1,475.4,9.3,2.0,6.7,7.9,14.6,31.7,37.1,68.7,69.7,
"        Cooks, private household",'35-2013,Line item,34.2,36.0,1.7,5.1,6.7,7.9,14.6,2.4,2.8,5.1,5.3,
"        Cooks, restaurant",'35-2014,Line item,"1,460.2","1,677.2",217.0,14.9,6.7,7.9,14.6,105.5,123.5,229.0,250.7,
"        Cooks, short order",'35-2015,Line item,151.1,142.7,-8.4,-5.6,6.7,7.9,14.6,9.9,11.6,21.4,20.6,
"        Cooks, all other",'35-2019,Line item,24.0,25.3,1.3,5.5,6.7,7.9,14.6,1.7,1.9,3.6,3.7,
      Food preparation workers,'35-2021,Line item,902.7,871.8,-30.9,-3.4,8.4,8.6,17.0,74.6,76.5,151.1,148.0,
    Food and beverage serving workers,'35-3000,Summary,"7,159.6","7,429.5",269.8,3.8,9.0,11.7,20.7,658.1,853.5,"1,511.6","1,538.6",
      Bartenders,'35-3011,Line item,756.7,801.5,44.8,5.9,5.2,10.9,16.1,40.3,84.7,125.1,129.6,
      Fast food and counter workers,'35-3023,Line item,"3,796.0","4,029.2",233.2,6.1,10.3,12.2,22.5,402.8,478.1,881.0,904.3,
      Waiters and waitresses,'35-3031,Line item,"2,329.7","2,313.5",-16.3,-0.7,8.2,11.5,19.7,191.3,267.1,458.4,456.7,
"      Food servers, nonrestaurant",'35-3041,Line item,277.2,285.3,8.2,3.0,8.4,8.4,16.8,23.7,23.6,47.2,48.0,
    Other food preparation and serving related workers,'35-9000,Summary,"1,525.6","1,559.0",33.4,2.2,9.8,9.4,19.2,150.9,144.5,295.4,298.7,
      Dining room and cafeteria attendants and bartender helpers,'35-9011,Line item,527.4,560.6,33.1,6.3,9.1,8.6,17.7,49.5,46.8,96.3,99.6,
      Dishwashers,'35-9021,Line item,477.7,478.6,0.9,0.2,8.0,8.0,16.0,38.5,38.2,76.7,76.8,
"      Hosts and hostesses, restaurant, lounge, and coffee shop",'35-9031,Line item,429.9,423.5,-6.4,-1.5,13.3,12.1,25.4,56.9,51.5,108.4,107.7,
"      Food preparation and serving related workers, all other",'35-9099,Line item,90.5,96.3,5.8,6.4,6.4,8.6,15.0,6.0,8.0,14.0,14.6,
  Building and grounds cleaning and maintenance occupations,'37-0000,Summary,"5,715.9","5,832.9",117.1,2.0,6.4,7.0,13.5,371.6,405.3,777.0,788.7,
    Supervisors of building and grounds cleaning and maintenance workers,'37-1000,Summary,494.5,506.4,11.9,2.4,4.4,6.6,11.0,22.2,32.8,55.1,56.3,
      First-line supervisors of housekeeping and janitorial workers,'37-1011,Line item,269.8,276.4,6.7,2.5,5.2,6.7,11.9,14.2,18.2,32.4,33.0,
"      First-line supervisors of landscaping, lawn service, and groundskeeping workers",'37-1012,Line item,224.7,230.0,5.2,2.3,3.5,6.5,10.0,8.0,14.7,22.7,23.2,
    Building cleaning and pest control workers,'37-2000,Summary,"3,924.9","3,984.2",59.3,1.5,7.2,6.9,14.0,283.7,271.2,554.9,560.8,
      Building cleaning workers,'37-2010,Summary,"3,822.5","3,876.8",54.2,1.4,7.3,6.8,14.1,280.8,261.1,542.0,547.4,
"        Janitors and cleaners, except maids and housekeeping cleaners",'37-2011,Line item,"2,447.7","2,495.5",47.8,2.0,7.1,7.0,14.0,174.5,172.1,346.5,351.3,
        Maids and housekeeping cleaners,'37-2012,Line item,"1,356.8","1,362.8",6.0,0.4,7.7,6.5,14.2,105.1,87.8,192.9,193.5,
"        Building cleaning workers, all other",'37-2019,Line item,18.1,18.5,0.5,2.5,7.1,7.0,14.0,1.3,1.3,2.6,2.6,
      Pest control workers,'37-2021,Line item,102.4,107.5,5.1,4.9,2.8,9.6,12.3,2.9,10.0,12.9,13.4,
    Grounds maintenance workers,'37-3000,Summary,"1,296.4","1,342.3",45.9,3.5,5.0,7.7,12.7,65.7,101.3,167.0,171.6,
      Landscaping and groundskeeping workers,'37-3011,Line item,"1,192.5","1,235.0",42.4,3.6,5.1,7.6,12.7,62.0,92.0,154.0,158.2,
"      Pesticide handlers, sprayers, and applicators, vegetation",'37-3012,Line item,29.6,30.7,1.1,3.8,3.8,9.3,13.1,1.2,2.8,4.0,4.1,
      Tree trimmers and pruners,'37-3013,Line item,60.1,62.1,2.0,3.3,3.2,8.5,11.7,2.0,5.2,7.2,7.4,
"      Grounds maintenance workers, all other",'37-3019,Line item,14.1,14.5,0.3,2.4,3.8,9.3,13.1,0.5,1.3,1.9,1.9,
  Personal care and service occupations,'39-0000,Summary,"4,464.1","4,650.6",186.5,4.2,6.8,9.7,16.5,310.1,443.7,753.8,772.4,
    Supervisors of personal care and service workers,'39-1000,Summary,304.9,323.4,18.5,6.1,3.8,6.1,9.9,12.0,19.3,31.3,33.1,
      First-line supervisors of entertainment and recreation workers,'39-1010,Summary,155.8,164.3,8.5,5.4,3.8,6.1,9.9,6.1,9.8,15.9,16.8,
