2024 National Employment Matrix title,2024 National Employment Matrix code,"Employment, 2024","Employment, 2034","Employment change, numeric, 2024–34","Employment change, percent, 2024–34","Percent self employed, 2024","Occupational openings, 2024–34 annual average","Median annual wage, dollars, 2024[1]",Typical education needed for entry,Top highest skill,Second highest skill,Third highest skill,Related Occupational Outlook Handbook (OOH) content
  Registered nurses,'29-1141,"3,391.0","3,557.1",166.1,4.9,0.5,189.1,"93,600",Bachelor's degree,Interpersonal,Adaptability,Detail oriented,OOH Content
  Nurse anesthetists,'29-1151,53.8,58.5,4.6,8.6,3.9,2.7,"223,210",Master's degree,Adaptability,Detail oriented,Interpersonal,OOH Content
  Nurse midwives,'29-1161,8.6,9.5,0.9,11.1,1.0,0.5,"128,790",Master's degree,Adaptability,Interpersonal,Detail oriented,OOH Content
  Nurse practitioners,'29-1171,320.4,448.8,128.4,40.1,1.0,29.5,"129,210",Master's degree,Adaptability,Interpersonal,Problem solving and decision making,OOH Content
  Audiologists,'29-1181,15.8,17.3,1.5,9.5,4.4,0.7,"92,120",Doctoral or professional degree,Interpersonal,Adaptability,Writing and reading,OOH Content
  Anesthesiologists,'29-1211,45.3,46.7,1.4,3.2,4.7,1.3,">=$239,200",Doctoral or professional degree,Detail oriented,Problem solving and decision making,Adaptability,OOH Content
  Cardiologists[2],'29-1212,19.4,20.2,0.8,4.1,4.7,0.6,">=$239,200",Doctoral or professional degree,Adaptability,Interpersonal,Detail oriented,OOH Content
  Dermatologists,'29-1213,10.9,11.6,0.7,6.4,4.8,0.4,">=$239,200",Doctoral or professional degree,Interpersonal,Detail oriented,Adaptability,OOH Content
  Emergency medicine physicians[2],'29-1214,36.1,37.1,1.0,2.7,4.6,1.0,">=$239,200",Doctoral or professional degree,Detail oriented,Adaptability,Interpersonal,OOH Content
  Family medicine physicians,'29-1215,116.0,119.1,3.1,2.7,4.5,3.3,"238,380",Doctoral or professional degree,Detail oriented,Adaptability,Interpersonal,OOH Content
  General internal medicine physicians,'29-1216,73.2,75.6,2.4,3.3,4.3,2.1,"236,350",Doctoral or professional degree,Adaptability,Interpersonal,Detail oriented,OOH Content
  Neurologists,'29-1217,8.3,8.8,0.5,5.4,4.6,0.3,">=$239,200",Doctoral or professional degree,Problem solving and decision making,Adaptability,Detail oriented,OOH Content
  Obstetricians and gynecologists,'29-1218,21.5,21.7,0.3,1.2,4.7,0.6,">=$239,200",Doctoral or professional degree,Adaptability,Problem solving and decision making,Interpersonal,OOH Content
"  Pediatricians, general",'29-1221,46.4,46.8,0.4,0.8,4.6,1.2,"210,130",Doctoral or professional degree,Interpersonal,Adaptability,Problem solving and decision making,OOH Content
"  Physicians, pathologists",'29-1222,12.6,13.1,0.5,4.2,4.5,0.4,">=$239,200",Doctoral or professional degree,Detail oriented,Adaptability,Problem solving and decision making,OOH Content
  Psychiatrists,'29-1223,27.1,28.8,1.7,6.1,3.7,0.9,">=$239,200",Doctoral or professional degree,Interpersonal,Adaptability,Problem solving and decision making,OOH Content
  Radiologists,'29-1224,28.2,29.0,0.8,2.7,4.7,0.8,">=$239,200",Doctoral or professional degree,Writing and reading,Interpersonal,Problem solving and decision making,OOH Content
"  Physicians, all other[2]",'29-1229,340.7,349.3,8.6,2.5,3.9,9.6,">=$239,200",Doctoral or professional degree,Adaptability,Detail oriented,Interpersonal,OOH Content
"  Ophthalmologists, except pediatric",'29-1241,12.5,13.1,0.5,4.3,0.7,0.3,">=$239,200",Doctoral or professional degree,Detail oriented,Problem solving and decision making,Adaptability,OOH Content
"  Orthopedic surgeons, except pediatric[2]",'29-1242,14.7,15.3,0.6,4.1,0.7,0.4,">=$239,200",Doctoral or professional degree,Detail oriented,Problem solving and decision making,Adaptability,OOH Content
  Pediatric surgeons[2],'29-1243,1.1,1.1,0.0,1.5,—,0.0,">=$239,200",Doctoral or professional degree,Detail oriented,Problem solving and decision making,Adaptability,OOH Content
"  Surgeons, all other[2]",'29-1249,25.1,26.0,1.0,3.9,0.7,0.6,">=$239,200",Doctoral or professional degree,Detail oriented,Problem solving and decision making,Adaptability,OOH Content
  Acupuncturists,'29-1291,15.3,16.4,1.0,6.8,44.1,0.9,"78,140",Master's degree,Interpersonal,Adaptability,Problem solving and decision making,—
  Dental hygienists,'29-1292,221.6,237.2,15.5,7.0,0.5,15.3,"94,260",Associate's degree,Adaptability,Interpersonal,Detail oriented,OOH Content
"  Healthcare diagnosing or treating practitioners, all other[2]",'29-1299,41.3,42.2,0.8,2.0,20.3,2.4,"113,730",Master's degree,Interpersonal,Adaptability,Detail oriented,—
  Clinical laboratory technologists and technicians,'29-2010,351.2,357.2,6.0,1.7,0.5,22.6,"61,890",Bachelor's degree,Detail oriented,Adaptability,Problem solving and decision making,OOH Content
  Cardiovascular technologists and technicians,'29-2031,64.7,66.6,1.9,3.0,3.7,3.8,"67,260",Associate's degree,Detail oriented,Adaptability,Interpersonal,OOH Content
  Diagnostic medical sonographers,'29-2032,90.0,101.7,11.7,13.0,2.5,5.8,"89,340",Associate's degree,Adaptability,Detail oriented,Interpersonal,OOH Content
  Nuclear medicine technologists,'29-2033,20.0,20.6,0.6,3.0,13.7,0.9,"97,020",Associate's degree,Detail oriented,Adaptability,Interpersonal,OOH Content
  Radiologic technologists and technicians,'29-2034,228.0,237.8,9.8,4.3,0.4,12.9,"77,660",Associate's degree,Adaptability,Interpersonal,Detail oriented,OOH Content
  Magnetic resonance imaging technologists,'29-2035,44.1,47.2,3.1,7.1,4.6,2.6,"88,180",Associate's degree,Detail oriented,Adaptability,Computers and information technology,OOH Content
  Medical dosimetrists,'29-2036,4.8,4.9,0.2,3.5,13.8,0.2,"138,110",Bachelor's degree,Detail oriented,Computers and information technology,Adaptability,OOH Content
  Emergency medical technicians[2],'29-2042,181.0,190.2,9.2,5.1,—,14.1,"41,340",Postsecondary nondegree award,Detail oriented,Adaptability,Interpersonal,OOH Content
  Paramedics[2],'29-2043,101.9,107.0,5.1,5.0,—,4.9,"58,410",Postsecondary nondegree award,Interpersonal,Adaptability,Detail oriented,OOH Content
  Dietetic technicians,'29-2051,30.9,31.7,0.8,2.5,0.7,4.0,"37,040",Associate's degree,Adaptability,Interpersonal,Detail oriented,—
  Pharmacy technicians,'29-2052,490.4,521.8,31.5,6.4,—,49.0,"43,460",High school diploma or equivalent,Detail oriented,Adaptability,Customer service,OOH Content
  Psychiatric technicians,'29-2053,144.5,173.3,28.9,20.0,—,15.9,"42,590",Postsecondary nondegree award,Interpersonal,Adaptability,Writing and reading,OOH Content
  Surgical technologists,'29-2055,115.6,120.8,5.2,4.5,0.1,7.0,"62,830",Postsecondary nondegree award,Detail oriented,Adaptability,Interpersonal,OOH Content
  Veterinary technologists and technicians,'29-2056,134.2,146.4,12.2,9.1,1.2,14.3,"45,980",Associate's degree,Adaptability,Detail oriented,Interpersonal,OOH Content
  Ophthalmic medical technicians,'29-2057,78.8,94.4,15.6,19.8,0.7,12.5,"44,080",Postsecondary nondegree award,Adaptability,Detail oriented,Interpersonal,—
  Licensed practical and licensed vocational nurses,'29-2061,651.4,668.5,17.1,2.6,0.3,54.4,"62,340",Postsecondary nondegree award,Adaptability,Interpersonal,Detail oriented,OOH Content
  Medical records specialists[2],'29-2072,194.8,208.6,13.8,7.1,0.8,14.2,"50,250",Postsecondary nondegree award,Writing and reading,Computers and information technology,Detail oriented,OOH Content
"  Opticians, dispensing",'29-2081,79.9,82.2,2.3,2.9,—,6.8,"46,560",High school diploma or equivalent,Customer service,Adaptability,Interpersonal,OOH Content
  Orthotists and prosthetists,'29-2091,10.1,11.5,1.3,13.3,—,0.9,"78,310",Master's degree,Adaptability,Interpersonal,Writing and reading,OOH Content
  Hearing aid specialists,'29-2092,10.7,12.6,2.0,18.4,0.5,1.0,"61,560",High school diploma or equivalent,Adaptability,Customer service,Interpersonal,—
"  Health technologists and technicians, all other[2]",'29-2099,178.8,188.1,9.3,5.2,0.5,13.6,"48,790",Postsecondary nondegree award,Adaptability,Detail oriented,Interpersonal,—
  Health information technologists and medical registrars[2],'29-9021,41.9,48.1,6.2,14.7,7.8,3.2,"67,310",Associate's degree,Computers and information technology,Writing and reading,Adaptability,OOH Content
  Athletic trainers,'29-9091,33.9,37.6,3.8,11.1,6.2,2.4,"60,250",Master's degree,Adaptability,Interpersonal,Problem solving and decision making,OOH Content
  Genetic counselors,'29-9092,4.0,4.3,0.4,9.3,8.1,0.3,"98,910",Master's degree,Adaptability,Writing and reading,Interpersonal,OOH Content
  Surgical assistants,'29-9093,25.3,26.6,1.3,5.1,8.6,1.6,"60,290",Postsecondary nondegree award,Detail oriented,Adaptability,Interpersonal,OOH Content
"  Healthcare practitioners and technical workers, all other[2]",'29-9099,41.7,43.1,1.5,3.6,6.8,2.6,"64,030",Postsecondary nondegree award,Adaptability,Detail oriented,Interpersonal,—
  Home health and personal care aides,'31-1120,"4,347.7","5,087.5",739.8,17.0,2.8,765.8,"34,900",High school diploma or equivalent,Interpersonal,Adaptability,Detail oriented,OOH Content
  Nursing assistants,'31-1131,"1,441.5","1,474.0",32.6,2.3,1.3,204.1,"39,530",Postsecondary nondegree award,Interpersonal,Adaptability,Detail oriented,OOH Content
  Orderlies,'31-1132,54.0,55.8,1.8,3.3,—,7.8,"37,700",High school diploma or equivalent,Interpersonal,Detail oriented,Adaptability,OOH Content
  Psychiatric aides,'31-1133,38.5,38.3,-0.1,-0.4,1.8,5.3,"41,590",High school diploma or equivalent,Interpersonal,Adaptability,Detail oriented,OOH Content
  Occupational therapy assistants,'31-2011,49.2,58.7,9.5,19.2,—,7.2,"68,340",Associate's degree,Interpersonal,Adaptability,Problem solving and decision making,OOH Content
  Occupational therapy aides,'31-2012,5.2,5.3,0.1,2.5,—,0.6,"37,370",High school diploma or equivalent,Interpersonal,Adaptability,Detail oriented,OOH Content
  Physical therapist assistants,'31-2021,111.5,136.0,24.5,22.0,0.7,19.8,"65,510",Associate's degree,Interpersonal,Adaptability,Problem solving and decision making,OOH Content
  Physical therapist aides,'31-2022,45.6,46.9,1.3,2.8,0.7,6.6,"34,520",High school diploma or equivalent,Interpersonal,Adaptability,Detail oriented,OOH Content
  Massage therapists,'31-9011,168.0,193.9,25.9,15.4,41.9,24.7,"57,950",Postsecondary nondegree award,Interpersonal,Adaptability,Problem solving and decision making,OOH Content
  Dental assistants,'31-9091,381.9,406.3,24.4,6.4,0.7,52.9,"47,300",Postsecondary nondegree award,Adaptability,Customer service,Interpersonal,OOH Content
  Medical assistants,'31-9092,811.0,912.2,101.2,12.5,—,112.3,"44,200",Postsecondary nondegree award,Adaptability,Interpersonal,Detail oriented,OOH Content
  Medical equipment preparers,'31-9093,76.5,84.2,7.6,10.0,3.4,10.9,"46,490",High school diploma or equivalent,Adaptability,Detail oriented,Interpersonal,—
  Medical transcriptionists,'31-9094,43.9,41.8,-2.2,-4.9,0.8,7.4,"37,550",Postsecondary nondegree award,Writing and reading,Computers and information technology,Detail oriented,OOH Content
  Pharmacy aides,'31-9095,41.1,41.1,-0.1,-0.1,—,6.1,"37,000",High school diploma or equivalent,Customer service,Adaptability,Detail oriented,—
  Veterinary assistants and laboratory animal caretakers,'31-9096,117.8,128.1,10.3,8.7,0.2,22.2,"37,320",High school diploma or equivalent,Detail oriented,Adaptability,Customer service,OOH Content
  Phlebotomists,'31-9097,139.7,147.5,7.9,5.6,—,18.4,"43,660",Postsecondary nondegree award,Detail oriented,Interpersonal,Adaptability,OOH Content
"  Healthcare support workers, all other[2]",'31-9099,109.7,113.5,3.8,3.5,2.5,14.4,"46,050",High school diploma or equivalent,Adaptability,Interpersonal,Detail oriented,—
  First-line supervisors of correctional officers,'33-1011,57.1,55.5,-1.6,-2.8,—,4.3,"76,310",High school diploma or equivalent,Leadership,Adaptability,Interpersonal,—
  First-line supervisors of police and detectives,'33-1012,160.8,165.4,4.6,2.9,—,10.9,"105,980",High school diploma or equivalent,Adaptability,Customer service,Leadership,—
  First-line supervisors of firefighting and prevention workers,'33-1021,97.2,100.5,3.4,3.4,—,6.5,"92,430",Postsecondary nondegree award,Leadership,Adaptability,Detail oriented,—
  First-line supervisors of security workers[2],'33-1091,71.9,73.8,1.9,2.7,0.7,7.0,"58,610",High school diploma or equivalent,Adaptability,Leadership,Writing and reading,—
"  First-line supervisors of protective service workers, all other[2]",'33-1099,21.5,21.8,0.3,1.6,0.3,2.1,"74,960",High school diploma or equivalent,Adaptability,Leadership,Interpersonal,—
  Firefighters,'33-2011,344.9,356.7,11.8,3.4,0.0,27.1,"59,530",Postsecondary nondegree award,Adaptability,Detail oriented,Interpersonal,OOH Content
  Fire inspectors and investigators,'33-2021,14.7,15.2,0.6,3.8,—,1.5,"78,060",Postsecondary nondegree award,Adaptability,Detail oriented,Problem solving and decision making,OOH Content
  Forest fire inspectors and prevention specialists,'33-2022,2.9,3.3,0.4,14.6,—,0.3,"52,380",High school diploma or equivalent,Problem solving and decision making,Adaptability,Leadership,OOH Content
  Bailiffs,'33-3011,19.0,18.6,-0.4,-2.2,6.3,1.8,"57,050",High school diploma or equivalent,Adaptability,Interpersonal,Detail oriented,OOH Content
  Correctional officers and jailers,'33-3012,387.5,357.4,-30.1,-7.8,—,30.1,"57,970",High school diploma or equivalent,Adaptability,Detail oriented,Problem solving and decision making,OOH Content
  Detectives and criminal investigators,'33-3021,117.9,117.1,-0.8,-0.7,—,7.8,"93,580",High school diploma or equivalent,Adaptability,Detail oriented,Problem solving and decision making,OOH Content
  Fish and game wardens,'33-3031,7.0,6.6,-0.4,-6.0,—,0.5,"68,180",Bachelor's degree,Adaptability,Customer service,Detail oriented,OOH Content
  Parking enforcement workers,'33-3041,8.4,8.2,-0.1,-1.5,—,0.7,"47,150",High school diploma or equivalent,Adaptability,Customer service,Interpersonal,—
  Police and sheriff's patrol officers,'33-3051,698.8,720.8,22.0,3.1,0.1,53.7,"76,290",High school diploma or equivalent,Adaptability,Customer service,Detail oriented,OOH Content
  Transit and railroad police,'33-3052,3.1,3.2,0.1,3.0,1.8,0.2,"82,320",High school diploma or equivalent,Adaptability,Customer service,Detail oriented,OOH Content
  Animal control workers,'33-9011,12.2,12.7,0.5,3.9,—,1.3,"45,830",High school diploma or equivalent,Customer service,Adaptability,Detail oriented,—
  Private detectives and investigators,'33-9021,43.6,46.2,2.6,6.0,10.8,3.9,"52,370",High school diploma or equivalent,Adaptability,Detail oriented,Problem solving and decision making,OOH Content
  Gambling surveillance officers and gambling investigators,'33-9031,10.3,10.3,0.0,0.3,—,1.3,"43,900",High school diploma or equivalent,Detail oriented,Adaptability,Computers and information technology,OOH Content
  Security guards,'33-9032,"1,262.1","1,267.1",5.1,0.4,0.5,161.0,"38,370",High school diploma or equivalent,Adaptability,Customer service,Interpersonal,OOH Content
  Crossing guards and flaggers,'33-9091,91.4,94.7,3.3,3.6,—,18.0,"37,700",No formal educational credential,Detail oriented,Adaptability,Interpersonal,—
"  Lifeguards, ski patrol, and other recreational protective service workers",'33-9092,149.7,158.4,8.7,5.8,—,42.7,"33,720",No formal educational credential,Adaptability,Interpersonal,Detail oriented,—
  Transportation security screeners,'33-9093,50.1,47.1,-3.0,-6.0,0.3,4.7,"63,360",High school diploma or equivalent,Detail oriented,Adaptability,Customer service,—
  School bus monitors[2],'33-9094,71.4,69.5,-2.0,-2.7,—,12.6,"34,980",High school diploma or equivalent,Detail oriented,Adaptability,Interpersonal,—
"  Protective service workers, all other[2]",'33-9099,84.0,86.1,2.1,2.5,—,23.3,"41,600",High school diploma or equivalent,Adaptability,Detail oriented,Customer service,—
  Chefs and head cooks,'35-1011,197.3,211.3,14.0,7.1,6.3,24.4,"60,990",High school diploma or equivalent,Leadership,Adaptability,Customer service,OOH Content
  First-line supervisors of food preparation and serving workers,'35-1012,"1,215.0","1,288.0",73.0,6.0,1.6,183.9,"42,010",High school diploma or equivalent,Customer service,Leadership,Problem solving and decision making,—
"  Cooks, fast food",'35-2011,669.5,579.2,-90.3,-13.5,—,82.1,"30,160",No formal educational credential,Detail oriented,Speaking and listening,Adaptability,OOH Content
"  Cooks, institution and cafeteria",'35-2012,466.1,475.4,9.3,2.0,—,69.7,"36,450",No formal educational credential,Adaptability,Detail oriented,Interpersonal,OOH Content
"  Cooks, private household",'35-2013,34.2,36.0,1.7,5.1,86.9,5.3,"44,530",Postsecondary nondegree award,Adaptability,Detail oriented,Problem solving and decision making,OOH Content
"  Cooks, restaurant",'35-2014,"1,460.2","1,677.2",217.0,14.9,—,250.7,"36,830",No formal educational credential,Adaptability,Detail oriented,Leadership,OOH Content
"  Cooks, short order",'35-2015,151.1,142.7,-8.4,-5.6,—,20.6,"35,620",No formal educational credential,Adaptability,Customer service,Detail oriented,OOH Content
"  Cooks, all other[2]",'35-2019,24.0,25.3,1.3,5.5,—,3.7,"36,210",No formal educational credential,Adaptability,Detail oriented,Interpersonal,OOH Content
  Food preparation workers,'35-2021,902.7,871.8,-30.9,-3.4,0.5,148.0,"34,220",No formal educational credential,Detail oriented,Adaptability,Interpersonal,OOH Content
  Bartenders,'35-3011,756.7,801.5,44.8,5.9,0.4,129.6,"33,530",No formal educational credential,Customer service,Adaptability,Interpersonal,OOH Content
  Fast food and counter workers,'35-3023,"3,796.0","4,029.2",233.2,6.1,0.1,904.3,"30,480",No formal educational credential,Customer service,Adaptability,Detail oriented,OOH Content
  Waiters and waitresses,'35-3031,"2,329.7","2,313.5",-16.3,-0.7,0.7,456.7,"33,760",No formal educational credential,Interpersonal,Customer service,Adaptability,OOH Content
"  Food servers, nonrestaurant",'35-3041,277.2,285.3,8.2,3.0,0.1,48.0,"34,460",No formal educational credential,Adaptability,Interpersonal,Detail oriented,OOH Content
  Dining room and cafeteria attendants and bartender helpers,'35-9011,527.4,560.6,33.1,6.3,0.2,99.6,"32,670",No formal educational credential,Customer service,Adaptability,Interpersonal,OOH Content
  Dishwashers,'35-9021,477.7,478.6,0.9,0.2,0.6,76.8,"33,670",No formal educational credential,Adaptability,Interpersonal,Problem solving and decision making,—
"  Hosts and hostesses, restaurant, lounge, and coffee shop",'35-9031,429.9,423.5,-6.4,-1.5,0.1,107.7,"30,380",No formal educational credential,Customer service,Adaptability,Interpersonal,OOH Content
"  Food preparation and serving related workers, all other[2]",'35-9099,90.5,96.3,5.8,6.4,—,14.6,"34,830",No formal educational credential,Adaptability,Interpersonal,Customer service,—
  First-line supervisors of housekeeping and janitorial workers,'37-1011,269.8,276.4,6.7,2.5,32.6,33.0,"47,520",High school diploma or equivalent,Leadership,Adaptability,Interpersonal,—
"  First-line supervisors of landscaping, lawn service, and groundskeeping workers",'37-1012,224.7,230.0,5.2,2.3,43.9,23.2,"56,170",High school diploma or equivalent,Leadership,Adaptability,Problem solving and decision making,—
"  Janitors and cleaners, except maids and housekeeping cleaners",'37-2011,"2,447.7","2,495.5",47.8,2.0,5.5,351.3,"35,930",No formal educational credential,Adaptability,Detail oriented,Leadership,OOH Content
  Maids and housekeeping cleaners,'37-2012,"1,356.8","1,362.8",6.0,0.4,12.8,193.5,"34,660",No formal educational credential,Adaptability,Interpersonal,Physical strength and stamina,—
"  Building cleaning workers, all other[2]",'37-2019,18.1,18.5,0.5,2.5,6.8,2.6,"42,360",No formal educational credential,Adaptability,Detail oriented,Physical strength and stamina,—
  Pest control workers,'37-2021,102.4,107.5,5.1,4.9,0.9,13.4,"44,730",High school diploma or equivalent,Problem solving and decision making,Adaptability,Detail oriented,OOH Content
  Landscaping and groundskeeping workers,'37-3011,"1,192.5","1,235.0",42.4,3.6,19.7,158.2,"38,090",No formal educational credential,Adaptability,Detail oriented,Interpersonal,OOH Content
"  Pesticide handlers, sprayers, and applicators, vegetation",'37-3012,29.6,30.7,1.1,3.8,1.9,4.1,"45,200",High school diploma or equivalent,Detail oriented,Problem solving and decision making,Adaptability,OOH Content
  Tree trimmers and pruners,'37-3013,60.1,62.1,2.0,3.3,16.5,7.4,"50,430",High school diploma or equivalent,Detail oriented,Problem solving and decision making,Physical strength and stamina,OOH Content
"  Grounds maintenance workers, all other[2]",'37-3019,14.1,14.5,0.3,2.4,1.4,1.9,"43,410",No formal educational credential,Adaptability,Detail oriented,Interpersonal,OOH Content
  First-line supervisors of gambling services workers,'39-1013,32.5,33.1,0.6,2.0,19.1,3.3,"61,590",High school diploma or equivalent,Customer service,Detail oriented,Adaptability,OOH Content
"  First-line supervisors of entertainment and recreation workers, except gambling services[2]",'39-1014,123.3,131.1,7.8,6.3,21.5,13.4,"46,900",High school diploma or equivalent,Adaptability,Detail oriented,Interpersonal,—
  First-line supervisors of personal service workers,'39-1022,149.1,159.1,10.0,6.7,24.7,16.3,"47,080",High school diploma or equivalent,Adaptability,Detail oriented,Interpersonal,—
  Animal trainers,'39-2011,47.3,49.8,2.4,5.1,38.8,7.1,"38,750",High school diploma or equivalent,Adaptability,Problem solving and decision making,Customer service,OOH Content
  Animal caretakers,'39-2021,392.1,439.6,47.6,12.1,25.2,74.6,"33,470",High school diploma or equivalent,Adaptability,Detail oriented,Interpersonal,OOH Content
  Gambling dealers,'39-3011,88.7,88.1,-0.6,-0.6,3.9,14.1,"33,280",High school diploma or equivalent,Customer service,Detail oriented,Adaptability,OOH Content
  Gambling and sports book writers and runners,'39-3012,8.2,7.7,-0.5,-6.1,4.4,1.2,"30,460",High school diploma or equivalent,Adaptability,Customer service,Detail oriented,OOH Content
"  Gambling service workers, all other[2]",'39-3019,16.1,16.0,-0.1,-0.6,3.9,2.6,"34,530",High school diploma or equivalent,Customer service,Detail oriented,Adaptability,OOH Content
  Motion picture projectionists,'39-3021,2.0,2.0,-0.1,-3.7,—,0.5,"38,180",No formal educational credential,Detail oriented,Adaptability,Problem solving and decision making,—
"  Ushers, lobby attendants, and ticket takers",'39-3031,121.7,123.1,1.4,1.2,—,30.8,"31,150",No formal educational credential,Customer service,Interpersonal,Adaptability,—
  Amusement and recreation attendants,'39-3091,392.3,405.5,13.2,3.4,1.1,102.4,"30,490",No formal educational credential,Customer service,Interpersonal,Speaking and listening,—
  Costume attendants,'39-3092,6.7,7.1,0.4,5.9,1.2,1.8,"54,810",High school diploma or equivalent,Creativity and innovation,Adaptability,Interpersonal,—
"  Locker room, coatroom, and dressing room attendants",'39-3093,15.6,16.6,1.0,6.4,1.2,4.2,"34,800",High school diploma or equivalent,Interpersonal,Customer service,Adaptability,—
"  Entertainment attendants and related workers, all other[2]",'39-3099,8.5,8.8,0.3,3.6,1.1,2.2,"34,550",High school diploma or equivalent,Customer service,Interpersonal,Adaptability,—
  Embalmers,'39-4011,3.6,3.7,0.0,1.3,4.8,0.6,"56,280",Associate's degree,Detail oriented,Adaptability,Interpersonal,—
  Crematory operators[2],'39-4012,3.1,3.2,0.1,3.3,4.8,0.6,"42,880",High school diploma or equivalent,Interpersonal,Detail oriented,Adaptability,—
  Funeral attendants,'39-4021,32.5,33.5,1.0,3.1,4.8,5.7,"34,610",High school diploma or equivalent,Interpersonal,Detail oriented,Adaptability,—
"  Morticians, undertakers, and funeral arrangers",'39-4031,27.5,28.4,0.8,3.1,5.0,3.2,"49,800",Associate's degree,Interpersonal,Detail oriented,Customer service,OOH Content
  Barbers,'39-5011,76.0,79.2,3.1,4.1,75.6,8.4,"38,960",Postsecondary nondegree award,Interpersonal,Detail oriented,Adaptability,OOH Content
"  Hairdressers, hairstylists, and cosmetologists",'39-5012,575.2,607.4,32.2,5.6,47.6,75.8,"35,250",Postsecondary nondegree award,Adaptability,Interpersonal,Customer service,OOH Content
"  Makeup artists, theatrical and performance",'39-5091,7.0,7.6,0.6,8.1,50.3,1.1,"50,280",Postsecondary nondegree award,Adaptability,Creativity and innovation,Interpersonal,—
  Manicurists and pedicurists,'39-5092,210.1,224.8,14.7,7.0,28.0,24.8,"34,660",Postsecondary nondegree award,Adaptability,Interpersonal,Detail oriented,OOH Content
  Shampooers,'39-5093,18.5,19.6,1.0,5.5,50.9,2.7,"31,470",No formal educational credential,Adaptability,Interpersonal,Detail oriented,—
  Skincare specialists,'39-5094,97.4,103.9,6.6,6.7,26.4,14.5,"41,560",Postsecondary nondegree award,Adaptability,Interpersonal,Customer service,OOH Content
  Baggage porters and bellhops,'39-6011,32.5,32.0,-0.5,-1.6,—,4.6,"36,020",High school diploma or equivalent,Customer service,Interpersonal,Adaptability,—
  Concierges,'39-6012,45.6,46.7,1.1,2.3,—,6.8,"37,320",High school diploma or equivalent,Interpersonal,Adaptability,Customer service,OOH Content
  Tour and travel guides,'39-7010,55.8,60.3,4.5,8.1,9.8,13.0,"36,660",High school diploma or equivalent,Speaking and listening,Adaptability,Interpersonal,OOH Content
  Childcare workers,'39-9011,991.6,962.4,-29.2,-2.9,21.2,160.2,"32,050",High school diploma or equivalent,Adaptability,Interpersonal,Detail oriented,OOH Content
  Exercise trainers and group fitness instructors,'39-9031,370.1,414.2,44.1,11.9,14.3,74.2,"46,180",High school diploma or equivalent,Interpersonal,Adaptability,Physical strength and stamina,OOH Content
  Recreation workers,'39-9032,327.7,341.1,13.4,4.1,0.4,68.1,"35,380",High school diploma or equivalent,Adaptability,Interpersonal,Speaking and listening,OOH Content
  Residential advisors,'39-9041,91.2,94.7,3.5,3.8,2.2,17.4,"39,180",High school diploma or equivalent,Interpersonal,Adaptability,Speaking and listening,—
"  Personal care and service workers, all other[2]",'39-9099,94.4,100.4,6.0,6.4,26.1,16.1,"37,900",High school diploma or equivalent,Interpersonal,Adaptability,Detail oriented,—
  First-line supervisors of retail sales workers,'41-1011,"1,432.6","1,360.3",-72.3,-5.0,22.5,125.1,"47,320",High school diploma or equivalent,Adaptability,Customer service,Leadership,—
  First-line supervisors of non-retail sales workers,'41-1012,320.0,320.0,0.0,0.0,30.0,24.8,"84,130",High school diploma or equivalent,Leadership,Problem solving and decision making,Speaking and listening,—
  Cashiers,'41-2011,"3,157.2","2,843.6",-313.6,-9.9,0.2,542.6,"31,190",No formal educational credential,Customer service,Interpersonal,Adaptability,OOH Content
  Gambling change persons and booth cashiers,'41-2012,22.6,21.1,-1.5,-6.4,—,4.0,"34,810",No formal educational credential,Customer service,Adaptability,Detail oriented,—
  Counter and rental clerks,'41-2021,408.2,421.3,13.1,3.2,0.9,45.9,"38,540",No formal educational credential,Customer service,Adaptability,Interpersonal,—
  Parts salespersons,'41-2022,272.1,280.6,8.5,3.1,1.6,30.2,"37,440",No formal educational credential,Customer service,Adaptability,Computers and information technology,OOH Content
  Retail salespersons,'41-2031,"3,936.7","3,917.1",-19.6,-0.5,4.0,555.8,"34,580",No formal educational credential,Customer service,Adaptability,Interpersonal,OOH Content
  Advertising sales agents,'41-3011,103.7,97.1,-6.6,-6.4,5.3,9.3,"61,460",High school diploma or equivalent,Customer service,Speaking and listening,Adaptability,OOH Content
  Insurance sales agents,'41-3021,568.8,589.8,21.1,3.7,12.5,47.0,"60,370",High school diploma or equivalent,Customer service,Adaptability,Detail oriented,OOH Content
"  Securities, commodities, and financial services sales agents",'41-3031,514.5,531.6,17.1,3.3,6.6,38.1,"78,140",Bachelor's degree,Adaptability,Problem solving and decision making,Detail oriented,OOH Content
  Travel agents,'41-3041,65.7,67.2,1.4,2.2,11.2,7.1,"48,450",High school diploma or equivalent,Detail oriented,Customer service,Computers and information technology,OOH Content
"  Sales representatives of services, except advertising, insurance, financial services, and travel[2]",'41-3091,"1,226.7","1,264.7",37.9,3.1,2.1,123.0,"66,260",High school diploma or equivalent,Adaptability,Customer service,Detail oriented,—
"  Sales representatives, wholesale and manufacturing, technical and scientific products",'41-4011,303.2,308.9,5.7,1.9,2.1,27.2,"100,070",Bachelor's degree,Adaptability,Speaking and listening,Problem solving and decision making,OOH Content
"  Sales representatives, wholesale and manufacturing, except technical and scientific products",'41-4012,"1,310.5","1,314.9",4.4,0.3,2.1,114.8,"66,780",High school diploma or equivalent,Customer service,Adaptability,Problem solving and decision making,OOH Content
