2024 National Employment Matrix title,2024 National Employment Matrix code,Occupation type,"Employment, 2024","Employment, 2034","Employment distribution, percent, 2024","Employment distribution, percent, 2034","Employment change, numeric, 2024–34","Employment change, percent, 2024–34","Percent self employed, 2024","Occupational openings, 2024–34 annual average","Median annual wage, dollars, 2024[1]",Typical education needed for entry,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation,Related Occupational Outlook Handbook (OOH) content xlsx,
"      Pesticide handlers, sprayers, and applicators, vegetation",'37-3012,Line item,29.6,30.7,0.0,0.0,1.1,3.8,1.9,4.1,"45,200",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
      Tree trimmers and pruners,'37-3013,Line item,60.1,62.1,0.0,0.0,2.0,3.3,16.5,7.4,"50,430",High school diploma or equivalent,None,Short-term on-the-job training,OOH Content,
"      Grounds maintenance workers, all other",'37-3019,Line item,14.1,14.5,0.0,0.0,0.3,2.4,1.4,1.9,"43,410",No formal educational credential,None,Short-term on-the-job training,OOH Content,
  Personal care and service occupations,'39-0000,Summary,"4,464.1","4,650.6",2.6,2.7,186.5,4.2,20.7,772.4,"35,110",—,—,—,—,
    Supervisors of personal care and service workers,'39-1000,Summary,304.9,323.4,0.2,0.2,18.5,6.1,22.8,33.1,"48,050",—,—,—,—,
      First-line supervisors of entertainment and recreation workers,'39-1010,Summary,155.8,164.3,0.1,0.1,8.5,5.4,21.0,16.8,"49,100",—,—,—,—,
        First-line supervisors of gambling services workers,'39-1013,Line item,32.5,33.1,0.0,0.0,0.6,2.0,19.1,3.3,"61,590",High school diploma or equivalent,Less than 5 years,None,OOH Content,
"        First-line supervisors of entertainment and recreation workers, except gambling services",'39-1014,Line item,123.3,131.1,0.1,0.1,7.8,6.3,21.5,13.4,"46,900",High school diploma or equivalent,Less than 5 years,None,—,
      First-line supervisors of personal service workers,'39-1022,Line item,149.1,159.1,0.1,0.1,10.0,6.7,24.7,16.3,"47,080",High school diploma or equivalent,Less than 5 years,None,—,
    Animal care and service workers,'39-2000,Summary,439.4,489.4,0.3,0.3,50.0,11.4,26.7,81.7,"33,860",—,—,—,—,
      Animal trainers,'39-2011,Line item,47.3,49.8,0.0,0.0,2.4,5.1,38.8,7.1,"38,750",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
      Animal caretakers,'39-2021,Line item,392.1,439.6,0.2,0.3,47.6,12.1,25.2,74.6,"33,470",High school diploma or equivalent,None,Short-term on-the-job training,OOH Content,
    Entertainment attendants and related workers,'39-3000,Summary,659.8,674.8,0.4,0.4,15.0,2.3,1.4,159.8,"31,200",—,—,—,—,
      Gambling services workers,'39-3010,Summary,113.0,111.8,0.1,0.1,-1.2,-1.0,3.9,17.9,"33,280",—,—,—,—,
        Gambling dealers,'39-3011,Line item,88.7,88.1,0.1,0.1,-0.6,-0.6,3.9,14.1,"33,280",High school diploma or equivalent,None,Short-term on-the-job training,OOH Content,
        Gambling and sports book writers and runners,'39-3012,Line item,8.2,7.7,0.0,0.0,-0.5,-6.1,4.4,1.2,"30,460",High school diploma or equivalent,None,Short-term on-the-job training,OOH Content,
"        Gambling service workers, all other",'39-3019,Line item,16.1,16.0,0.0,0.0,-0.1,-0.6,3.9,2.6,"34,530",High school diploma or equivalent,None,Short-term on-the-job training,OOH Content,
      Motion picture projectionists,'39-3021,Line item,2.0,2.0,0.0,0.0,-0.1,-3.7,—,0.5,"38,180",No formal educational credential,None,Short-term on-the-job training,—,
"      Ushers, lobby attendants, and ticket takers",'39-3031,Line item,121.7,123.1,0.1,0.1,1.4,1.2,—,30.8,"31,150",No formal educational credential,None,Short-term on-the-job training,—,
      Miscellaneous entertainment attendants and related workers,'39-3090,Summary,423.1,438.0,0.2,0.3,14.9,3.5,1.1,110.6,"31,020",—,—,—,—,
        Amusement and recreation attendants,'39-3091,Line item,392.3,405.5,0.2,0.2,13.2,3.4,1.1,102.4,"30,490",No formal educational credential,None,Short-term on-the-job training,—,
        Costume attendants,'39-3092,Line item,6.7,7.1,0.0,0.0,0.4,5.9,1.2,1.8,"54,810",High school diploma or equivalent,None,Short-term on-the-job training,—,
"        Locker room, coatroom, and dressing room attendants",'39-3093,Line item,15.6,16.6,0.0,0.0,1.0,6.4,1.2,4.2,"34,800",High school diploma or equivalent,None,Short-term on-the-job training,—,
"        Entertainment attendants and related workers, all other",'39-3099,Line item,8.5,8.8,0.0,0.0,0.3,3.6,1.1,2.2,"34,550",High school diploma or equivalent,None,Short-term on-the-job training,—,
    Funeral service workers,'39-4000,Summary,66.8,68.8,0.0,0.0,2.0,3.0,4.9,10.1,"39,170",—,—,—,—,
      Embalmers and crematory operators,'39-4010,Summary,6.8,6.9,0.0,0.0,0.2,2.2,4.8,1.2,"48,610",—,—,—,—,
        Embalmers,'39-4011,Line item,3.6,3.7,0.0,0.0,0.0,1.3,4.8,0.6,"56,280",Associate's degree,None,Long-term on-the-job training,—,
        Crematory operators,'39-4012,Line item,3.1,3.2,0.0,0.0,0.1,3.3,4.8,0.6,"42,880",High school diploma or equivalent,None,Short-term on-the-job training,—,
      Funeral attendants,'39-4021,Line item,32.5,33.5,0.0,0.0,1.0,3.1,4.8,5.7,"34,610",High school diploma or equivalent,None,Short-term on-the-job training,—,
"      Morticians, undertakers, and funeral arrangers",'39-4031,Line item,27.5,28.4,0.0,0.0,0.8,3.1,5.0,3.2,"49,800",Associate's degree,None,Long-term on-the-job training,OOH Content,
    Personal appearance workers,'39-5000,Summary,984.2,"1,042.4",0.6,0.6,58.2,5.9,43.5,127.3,"35,310",—,—,—,—,
"      Barbers, hairdressers, hairstylists and cosmetologists",'39-5010,Summary,651.2,686.6,0.4,0.4,35.3,5.4,50.8,84.2,"35,420",—,—,—,—,
        Barbers,'39-5011,Line item,76.0,79.2,0.0,0.0,3.1,4.1,75.6,8.4,"38,960",Postsecondary nondegree award,None,None,OOH Content,
"        Hairdressers, hairstylists, and cosmetologists",'39-5012,Line item,575.2,607.4,0.3,0.3,32.2,5.6,47.6,75.8,"35,250",Postsecondary nondegree award,None,None,OOH Content,
      Miscellaneous personal appearance workers,'39-5090,Summary,333.0,355.8,0.2,0.2,22.8,6.9,29.3,43.1,"35,260",—,—,—,—,
"        Makeup artists, theatrical and performance",'39-5091,Line item,7.0,7.6,0.0,0.0,0.6,8.1,50.3,1.1,"50,280",Postsecondary nondegree award,None,None,—,
        Manicurists and pedicurists,'39-5092,Line item,210.1,224.8,0.1,0.1,14.7,7.0,28.0,24.8,"34,660",Postsecondary nondegree award,None,None,OOH Content,
        Shampooers,'39-5093,Line item,18.5,19.6,0.0,0.0,1.0,5.5,50.9,2.7,"31,470",No formal educational credential,None,Short-term on-the-job training,—,
        Skincare specialists,'39-5094,Line item,97.4,103.9,0.1,0.1,6.6,6.7,26.4,14.5,"41,560",Postsecondary nondegree award,None,None,OOH Content,
"    Baggage porters, bellhops, and concierges",'39-6000,Summary,78.1,78.6,0.0,0.0,0.5,0.7,—,11.5,"36,810",—,—,—,—,
      Baggage porters and bellhops,'39-6011,Line item,32.5,32.0,0.0,0.0,-0.5,-1.6,—,4.6,"36,020",High school diploma or equivalent,None,Short-term on-the-job training,—,
      Concierges,'39-6012,Line item,45.6,46.7,0.0,0.0,1.1,2.3,—,6.8,"37,320",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
    Tour and travel guides,'39-7000,Summary,55.8,60.3,0.0,0.0,4.5,8.1,9.8,13.0,"36,660",—,—,—,—,
      Tour and travel guides,'39-7010,Line item,55.8,60.3,0.0,0.0,4.5,8.1,9.8,13.0,"36,660",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
    Other personal care and service workers,'39-9000,Summary,"1,875.1","1,912.9",1.1,1.1,37.8,2.0,15.6,336.0,"35,550",—,—,—,—,
      Childcare workers,'39-9011,Line item,991.6,962.4,0.6,0.5,-29.2,-2.9,21.2,160.2,"32,050",High school diploma or equivalent,None,Short-term on-the-job training,OOH Content,
      Recreation and fitness workers,'39-9030,Summary,697.8,755.3,0.4,0.4,57.5,8.2,7.8,142.2,"37,420",—,—,—,—,
        Exercise trainers and group fitness instructors,'39-9031,Line item,370.1,414.2,0.2,0.2,44.1,11.9,14.3,74.2,"46,180",High school diploma or equivalent,None,Short-term on-the-job training,OOH Content,
        Recreation workers,'39-9032,Line item,327.7,341.1,0.2,0.2,13.4,4.1,0.4,68.1,"35,380",High school diploma or equivalent,None,Short-term on-the-job training,OOH Content,
      Residential advisors,'39-9041,Line item,91.2,94.7,0.1,0.1,3.5,3.8,2.2,17.4,"39,180",High school diploma or equivalent,None,Short-term on-the-job training,—,
"      Personal care and service workers, all other",'39-9099,Line item,94.4,100.4,0.1,0.1,6.0,6.4,26.1,16.1,"37,900",High school diploma or equivalent,None,Short-term on-the-job training,—,
  Sales and related occupations,'41-0000,Summary,"14,532.6","14,234.8",8.6,8.1,-297.8,-2.0,7.7,"1,786.8","37,460",—,—,—,—,
    Supervisors of sales workers,'41-1000,Summary,"1,752.6","1,680.3",1.0,1.0,-72.3,-4.1,23.8,149.9,"49,510",—,—,—,—,
      First-line supervisors of retail sales workers,'41-1011,Line item,"1,432.6","1,360.3",0.8,0.8,-72.3,-5.0,22.5,125.1,"47,320",High school diploma or equivalent,Less than 5 years,None,—,
      First-line supervisors of non-retail sales workers,'41-1012,Line item,320.0,320.0,0.2,0.2,0.0,0.0,30.0,24.8,"84,130",High school diploma or equivalent,Less than 5 years,None,—,
    Retail sales workers,'41-2000,Summary,"7,796.8","7,483.8",4.6,4.3,-313.0,-4.0,2.2,"1,178.6","33,690",—,—,—,—,
      Cashiers,'41-2010,Summary,"3,179.8","2,864.7",1.9,1.6,-315.1,-9.9,0.2,546.7,"31,200",—,—,—,—,
        Cashiers,'41-2011,Line item,"3,157.2","2,843.6",1.9,1.6,-313.6,-9.9,0.2,542.6,"31,190",No formal educational credential,None,Short-term on-the-job training,OOH Content,
        Gambling change persons and booth cashiers,'41-2012,Line item,22.6,21.1,0.0,0.0,-1.5,-6.4,—,4.0,"34,810",No formal educational credential,None,Short-term on-the-job training,—,
      Counter and rental clerks and parts salespersons,'41-2020,Summary,680.3,701.9,0.4,0.4,21.6,3.2,1.2,76.1,"38,100",—,—,—,—,
        Counter and rental clerks,'41-2021,Line item,408.2,421.3,0.2,0.2,13.1,3.2,0.9,45.9,"38,540",No formal educational credential,None,Short-term on-the-job training,—,
        Parts salespersons,'41-2022,Line item,272.1,280.6,0.2,0.2,8.5,3.1,1.6,30.2,"37,440",No formal educational credential,None,Moderate-term on-the-job training,OOH Content,
      Retail salespersons,'41-2031,Line item,"3,936.7","3,917.1",2.3,2.2,-19.6,-0.5,4.0,555.8,"34,580",No formal educational credential,None,Short-term on-the-job training,OOH Content,
"    Sales representatives, services",'41-3000,Summary,"2,479.4","2,550.3",1.5,1.5,70.9,2.9,5.8,224.6,"64,200",—,—,—,—,
      Advertising sales agents,'41-3011,Line item,103.7,97.1,0.1,0.1,-6.6,-6.4,5.3,9.3,"61,460",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
      Insurance sales agents,'41-3021,Line item,568.8,589.8,0.3,0.3,21.1,3.7,12.5,47.0,"60,370",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
"      Securities, commodities, and financial services sales agents",'41-3031,Line item,514.5,531.6,0.3,0.3,17.1,3.3,6.6,38.1,"78,140",Bachelor's degree,None,Moderate-term on-the-job training,OOH Content,
      Travel agents,'41-3041,Line item,65.7,67.2,0.0,0.0,1.4,2.2,11.2,7.1,"48,450",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
"      Sales representatives of services, except advertising, insurance, financial services, and travel",'41-3091,Line item,"1,226.7","1,264.7",0.7,0.7,37.9,3.1,2.1,123.0,"66,260",High school diploma or equivalent,None,Moderate-term on-the-job training,—,
"    Sales representatives, wholesale and manufacturing",'41-4000,Summary,"1,613.6","1,623.8",0.9,0.9,10.1,0.6,2.1,142.1,"74,100",—,—,—,—,
"      Sales representatives, wholesale and manufacturing, technical and scientific products",'41-4011,Line item,303.2,308.9,0.2,0.2,5.7,1.9,2.1,27.2,"100,070",Bachelor's degree,None,Moderate-term on-the-job training,OOH Content,
"      Sales representatives, wholesale and manufacturing, except technical and scientific products",'41-4012,Line item,"1,310.5","1,314.9",0.8,0.8,4.4,0.3,2.1,114.8,"66,780",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
    Other sales and related workers,'41-9000,Summary,890.1,896.6,0.5,0.5,6.5,0.7,38.4,91.6,"49,720",—,—,—,—,
"      Models, demonstrators, and product promoters",'41-9010,Summary,85.9,85.7,0.1,0.0,-0.1,-0.2,18.1,15.2,"38,760",—,—,—,—,
        Demonstrators and product promoters,'41-9011,Line item,79.2,79.1,0.0,0.0,-0.1,-0.1,18.2,14.0,"37,960",No formal educational credential,None,Short-term on-the-job training,—,
        Models,'41-9012,Line item,6.7,6.7,0.0,0.0,0.0,-0.5,16.3,1.2,"89,990",No formal educational credential,None,None,OOH Content,
      Real estate brokers and sales agents,'41-9020,Summary,532.2,548.7,0.3,0.3,16.5,3.1,53.9,46.3,"58,960",—,—,—,—,
        Real estate brokers,'41-9021,Line item,111.3,115.0,0.1,0.1,3.7,3.3,54.5,9.7,"72,280",High school diploma or equivalent,Less than 5 years,None,OOH Content,
        Real estate sales agents,'41-9022,Line item,420.9,433.7,0.2,0.2,12.8,3.1,53.7,36.6,"56,320",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
      Sales engineers,'41-9031,Line item,56.8,59.9,0.0,0.0,3.1,5.5,—,5.0,"121,520",Bachelor's degree,None,Moderate-term on-the-job training,OOH Content,
      Telemarketers,'41-9041,Line item,67.4,52.5,0.0,0.0,-14.9,-22.1,0.6,6.5,"34,410",No formal educational credential,None,Short-term on-the-job training,—,
      Miscellaneous sales and related workers,'41-9090,Summary,147.8,149.8,0.1,0.1,2.0,1.3,26.3,18.7,"46,000",—,—,—,—,
"        Door-to-door sales workers, news and street vendors, and related workers",'41-9091,Line item,25.3,22.8,0.0,0.0,-2.5,-10.0,81.8,2.7,"34,530",No formal educational credential,None,Short-term on-the-job training,—,
"        Sales and related workers, all other",'41-9099,Line item,122.6,127.1,0.1,0.1,4.5,3.7,14.8,16.0,"46,370",High school diploma or equivalent,None,None,—,
  Office and administrative support occupations,'43-0000,Summary,"19,325.2","18,563.3",11.4,10.6,-761.9,-3.9,2.2,"1,996.8","46,320",—,—,—,—,
    Supervisors of office and administrative support workers,'43-1000,Summary,"1,558.4","1,554.4",0.9,0.9,-3.9,-0.3,0.7,144.5,"66,140",—,—,—,—,
      First-line supervisors of office and administrative support workers,'43-1011,Line item,"1,558.4","1,554.4",0.9,0.9,-3.9,-0.3,0.7,144.5,"66,140",High school diploma or equivalent,Less than 5 years,None,—,
    Communications equipment operators,'43-2000,Summary,42.1,31.4,0.0,0.0,-10.7,-25.4,—,3.2,"38,600",—,—,—,—,
"      Switchboard operators, including answering service",'43-2011,Line item,36.6,27.0,0.0,0.0,-9.6,-26.3,—,2.8,"38,370",High school diploma or equivalent,None,Short-term on-the-job training,—,
      Telephone operators,'43-2021,Line item,4.0,2.9,0.0,0.0,-1.1,-27.5,—,0.3,"39,130",High school diploma or equivalent,None,Short-term on-the-job training,—,
"      Communications equipment operators, all other",'43-2099,Line item,1.4,1.5,0.0,0.0,0.0,2.5,—,0.1,"49,910",High school diploma or equivalent,None,Short-term on-the-job training,—,
    Financial clerks,'43-3000,Summary,"2,833.6","2,642.5",1.7,1.5,-191.1,-6.7,3.2,278.6,"47,370",—,—,—,—,
      Bill and account collectors,'43-3011,Line item,166.9,149.4,0.1,0.1,-17.5,-10.5,0.2,13.7,"46,040",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
      Billing and posting clerks,'43-3021,Line item,429.8,427.9,0.3,0.2,-1.9,-0.4,0.8,42.2,"47,170",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
"      Bookkeeping, accounting, and auditing clerks",'43-3031,Line item,"1,613.4","1,519.1",0.9,0.9,-94.3,-5.8,5.2,170.0,"49,210","Some college, no degree",None,Moderate-term on-the-job training,OOH Content,
      Gambling cage workers,'43-3041,Line item,14.1,13.4,0.0,0.0,-0.7,-5.0,1.6,1.3,"36,990",High school diploma or equivalent,None,Short-term on-the-job training,OOH Content,
      Payroll and timekeeping clerks,'43-3051,Line item,161.1,134.2,0.1,0.1,-27.0,-16.7,0.9,13.0,"55,290",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
      Procurement clerks,'43-3061,Line item,61.9,56.6,0.0,0.0,-5.4,-8.7,—,4.6,"48,510",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
      Tellers,'43-3071,Line item,347.4,302.5,0.2,0.2,-44.9,-12.9,—,29.8,"39,340",High school diploma or equivalent,None,Short-term on-the-job training,OOH Content,
"      Financial clerks, all other",'43-3099,Line item,38.9,39.4,0.0,0.0,0.5,1.4,2.7,4.0,"52,150",High school diploma or equivalent,None,Short-term on-the-job training,—,
    Information and record clerks,'43-4000,Summary,"5,511.6","5,304.2",3.2,3.0,-207.4,-3.8,0.8,653.0,"41,600",—,—,—,—,
      Brokerage clerks,'43-4011,Line item,40.8,36.9,0.0,0.0,-3.9,-9.5,—,4.1,"62,940",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
      Correspondence clerks,'43-4021,Line item,6.9,6.5,0.0,0.0,-0.4,-5.6,5.1,0.7,"46,740",High school diploma or equivalent,None,Short-term on-the-job training,OOH Content,
"      Court, municipal, and license clerks",'43-4031,Line item,180.4,185.9,0.1,0.1,5.5,3.0,1.0,18.5,"47,700",High school diploma or equivalent,None,Long-term on-the-job training,OOH Content,
"      Credit authorizers, checkers, and clerks",'43-4041,Line item,12.0,11.3,0.0,0.0,-0.7,-6.2,—,1.0,"49,130",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
      Customer service representatives,'43-4051,Line item,"2,814.0","2,660.3",1.7,1.5,-153.7,-5.5,0.8,341.7,"42,830",High school diploma or equivalent,None,Short-term on-the-job training,OOH Content,
"      Eligibility interviewers, government programs",'43-4061,Line item,166.8,168.5,0.1,0.1,1.7,1.0,0.3,14.0,"51,500",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
      File clerks,'43-4071,Line item,84.3,70.9,0.0,0.0,-13.4,-15.9,2.9,7.3,"41,270",High school diploma or equivalent,None,Short-term on-the-job training,OOH Content,
"      Hotel, motel, and resort desk clerks",'43-4081,Line item,264.2,274.0,0.2,0.2,9.9,3.7,—,43.6,"34,270",High school diploma or equivalent,None,Short-term on-the-job training,OOH Content,
"      Interviewers, except eligibility and loan",'43-4111,Line item,164.3,145.1,0.1,0.1,-19.1,-11.6,0.6,15.8,"43,830",High school diploma or equivalent,None,Short-term on-the-job training,OOH Content,
"      Library assistants, clerical",'43-4121,Line item,84.5,78.9,0.0,0.0,-5.6,-6.7,—,12.8,"36,010",High school diploma or equivalent,None,Short-term on-the-job training,OOH Content,
      Loan interviewers and clerks,'43-4131,Line item,177.6,173.5,0.1,0.1,-4.1,-2.3,0.9,13.3,"48,950",High school diploma or equivalent,None,Short-term on-the-job training,OOH Content,
      New accounts clerks,'43-4141,Line item,38.9,33.8,0.0,0.0,-5.2,-13.2,—,2.3,"46,610",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
      Order clerks,'43-4151,Line item,89.5,74.1,0.1,0.0,-15.4,-17.2,5.5,8.0,"44,660","Some college, no degree",None,Short-term on-the-job training,OOH Content,
"      Human resources assistants, except payroll and timekeeping",'43-4161,Line item,95.2,88.4,0.1,0.1,-6.8,-7.1,0.3,9.0,"49,440",Associate's degree,None,None,OOH Content,
      Receptionists and information clerks,'43-4171,Line item,"1,007.2","1,007.6",0.6,0.6,0.3,0.0,0.6,128.5,"37,230",High school diploma or equivalent,None,Short-term on-the-job training,OOH Content,
      Reservation and transportation ticket agents and travel clerks,'43-4181,Line item,131.9,135.6,0.1,0.1,3.7,2.8,3.0,14.4,"41,460",High school diploma or equivalent,None,Short-term on-the-job training,OOH Content,
"      Information and record clerks, all other",'43-4199,Line item,153.3,153.0,0.1,0.1,-0.3,-0.2,—,17.8,"48,360",High school diploma or equivalent,None,Short-term on-the-job training,OOH Content,
"    Material recording, scheduling, dispatching, and distributing workers",'43-5000,Summary,"2,492.6","2,422.1",1.5,1.4,-70.6,-2.8,7.5,210.5,"48,090",—,—,—,—,
      Cargo and freight agents,'43-5011,Line item,100.6,109.2,0.1,0.1,8.6,8.5,1.2,8.8,"49,900",High school diploma or equivalent,None,Short-term on-the-job training,—,
      Couriers and messengers,'43-5021,Line item,247.2,267.6,0.1,0.2,20.4,8.2,70.2,27.9,"38,340",High school diploma or equivalent,None,Short-term on-the-job training,—,
      Dispatchers,'43-5030,Summary,323.9,325.5,0.2,0.2,1.6,0.5,1.8,29.2,"49,500",—,—,—,—,
        Public safety telecommunicators,'43-5031,Line item,105.2,108.9,0.1,0.1,3.6,3.5,—,10.7,"50,730",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
"        Dispatchers, except police, fire, and ambulance",'43-5032,Line item,218.7,216.7,0.1,0.1,-2.1,-0.9,2.7,18.5,"48,880",High school diploma or equivalent,None,Moderate-term on-the-job training,—,
"      Meter readers, utilities",'43-5041,Line item,20.1,17.7,0.0,0.0,-2.4,-12.0,—,1.3,"49,180",High school diploma or equivalent,None,Short-term on-the-job training,—,
      Postal service workers,'43-5050,Summary,500.0,477.1,0.3,0.3,-22.9,-4.6,—,34.5,"57,870",—,—,—,—,
        Postal service clerks,'43-5051,Line item,74.2,71.6,0.0,0.0,-2.6,-3.5,—,6.1,"61,630",No formal educational credential,None,Short-term on-the-job training,OOH Content,
        Postal service mail carriers,'43-5052,Line item,319.4,308.1,0.2,0.2,-11.3,-3.5,—,20.6,"57,490",No formal educational credential,None,Short-term on-the-job training,OOH Content,
"        Postal service mail sorters, processors, and processing machine operators",'43-5053,Line item,106.4,97.5,0.1,0.1,-8.9,-8.4,—,7.8,"56,530",No formal educational credential,None,Short-term on-the-job training,OOH Content,
"      Production, planning, and expediting clerks",'43-5061,Line item,388.8,381.7,0.2,0.2,-7.1,-1.8,—,34.1,"57,770",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
"      Shipping, receiving, and inventory clerks",'43-5071,Line item,862.2,795.8,0.5,0.5,-66.3,-7.7,0.6,69.3,"43,190",High school diploma or equivalent,None,Short-term on-the-job training,OOH Content,
"      Weighers, measurers, checkers, and samplers, recordkeeping",'43-5111,Line item,49.8,47.4,0.0,0.0,-2.4,-4.8,0.4,5.3,"45,650",High school diploma or equivalent,None,Short-term on-the-job training,OOH Content,
    Secretaries and administrative assistants,'43-6000,Summary,"3,453.1","3,440.8",2.0,2.0,-12.4,-0.4,1.1,358.3,"47,460",—,—,—,—,
      Executive secretaries and executive administrative assistants,'43-6011,Line item,502.8,494.9,0.3,0.3,-7.9,-1.6,0.2,50.0,"74,260",High school diploma or equivalent,Less than 5 years,None,OOH Content,
      Legal secretaries and administrative assistants,'43-6012,Line item,156.3,147.3,0.1,0.1,-9.0,-5.8,0.5,19.6,"54,140",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
      Medical secretaries and administrative assistants,'43-6013,Line item,850.0,885.3,0.5,0.5,35.3,4.2,0.0,85.9,"44,640",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
"      Secretaries and administrative assistants, except legal, medical, and executive",'43-6014,Line item,"1,944.0","1,913.2",1.1,1.1,-30.8,-1.6,1.9,202.8,"46,290",High school diploma or equivalent,None,Short-term on-the-job training,OOH Content,
    Other office and administrative support workers,'43-9000,Summary,"3,433.7","3,167.9",2.0,1.8,-265.8,-7.7,1.4,348.7,"44,030",—,—,—,—,
      Data entry and information processing workers,'43-9020,Summary,181.7,130.5,0.1,0.1,-51.2,-28.2,3.3,11.8,"41,480",—,—,—,—,
        Data entry keyers,'43-9021,Line item,141.6,104.9,0.1,0.1,-36.7,-25.9,2.2,9.5,"39,850",High school diploma or equivalent,None,Short-term on-the-job training,—,
        Word processors and typists,'43-9022,Line item,40.0,25.6,0.0,0.0,-14.4,-36.1,7.5,2.2,"47,850",High school diploma or equivalent,None,Short-term on-the-job training,—,
      Desktop publishers,'43-9031,Line item,5.0,4.4,0.0,0.0,-0.6,-12.4,16.8,0.4,"53,620",Associate's degree,None,Short-term on-the-job training,OOH Content,
      Insurance claims and policy processing clerks,'43-9041,Line item,256.7,247.2,0.2,0.1,-9.5,-3.7,0.5,20.3,"48,450",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
"      Mail clerks and mail machine operators, except postal service",'43-9051,Line item,67.4,62.9,0.0,0.0,-4.4,-6.6,2.1,6.9,"38,150",High school diploma or equivalent,None,Short-term on-the-job training,—,
"      Office clerks, general",'43-9061,Line item,"2,646.0","2,468.2",1.6,1.4,-177.8,-6.7,0.5,282.4,"43,630",High school diploma or equivalent,None,Short-term on-the-job training,OOH Content,
"      Office machine operators, except computer",'43-9071,Line item,25.5,21.6,0.0,0.0,-3.9,-15.2,—,2.8,"39,020",High school diploma or equivalent,None,Short-term on-the-job training,—,
      Proofreaders and copy markers,'43-9081,Line item,12.0,11.9,0.0,0.0,-0.1,-0.6,31.2,1.9,"49,210",Bachelor's degree,None,None,—,
      Statistical assistants,'43-9111,Line item,6.5,6.3,0.0,0.0,-0.2,-2.5,—,0.8,"51,440",Bachelor's degree,None,None,—,
"      Office and administrative support workers, all other",'43-9199,Line item,232.9,214.8,0.1,0.1,-18.1,-7.8,9.8,21.3,"46,040",High school diploma or equivalent,None,Short-term on-the-job training,—,
"  Farming, fishing, and forestry occupations",'45-0000,Summary,"1,008.5",983.3,0.6,0.6,-25.2,-2.5,8.4,142.8,"36,750",—,—,—,—,
"    Supervisors of farming, fishing, and forestry workers",'45-1000,Summary,65.4,67.0,0.0,0.0,1.6,2.5,11.4,8.5,"59,330",—,—,—,—,
"      First-line supervisors of farming, fishing, and forestry workers",'45-1011,Line item,65.4,67.0,0.0,0.0,1.6,2.5,11.4,8.5,"59,330",High school diploma or equivalent,Less than 5 years,None,—,
    Agricultural workers,'45-2000,Summary,866.2,841.8,0.5,0.5,-24.3,-2.8,5.8,123.5,"36,020",—,—,—,—,
      Agricultural inspectors,'45-2011,Line item,14.7,14.9,0.0,0.0,0.2,1.5,—,2.2,"50,990",Bachelor's degree,None,Moderate-term on-the-job training,—,
      Animal breeders,'45-2021,Line item,7.9,8.1,0.0,0.0,0.2,2.4,3.4,1.2,"52,000",High school diploma or equivalent,None,Short-term on-the-job training,OOH Content,
"      Graders and sorters, agricultural products",'45-2041,Line item,38.9,36.8,0.0,0.0,-2.1,-5.4,—,5.1,"35,430",No formal educational credential,None,Short-term on-the-job training,—,
      Miscellaneous agricultural workers,'45-2090,Summary,804.7,782.1,0.5,0.4,-22.6,-2.8,6.3,115.0,"35,960",—,—,—,—,
        Agricultural equipment operators,'45-2091,Line item,65.2,70.3,0.0,0.0,5.0,7.7,7.1,10.5,"42,580",No formal educational credential,None,Moderate-term on-the-job training,OOH Content,
"        Farmworkers and laborers, crop, nursery, and greenhouse",'45-2092,Line item,504.8,488.1,0.3,0.3,-16.8,-3.3,7.9,71.7,"35,690",No formal educational credential,None,Short-term on-the-job training,OOH Content,
"        Farmworkers, farm, ranch, and aquacultural animals",'45-2093,Line item,224.6,213.4,0.1,0.1,-11.1,-5.0,2.3,31.2,"36,150",No formal educational credential,None,Short-term on-the-job training,OOH Content,
"        Agricultural workers, all other",'45-2099,Line item,10.1,10.3,0.0,0.0,0.2,2.3,5.8,1.5,"40,390",No formal educational credential,None,Short-term on-the-job training,OOH Content,
